,iteration_qEHVI,iteration_qNEHVI,iteration_random,gap,zpve
0,16.0,,,0.2853,0.180763
1,7.0,,,0.3223,0.226412
2,18.0,,,0.1987,0.122289
3,11.0,,,0.2833,0.21423
4,20.0,,,0.2386,0.136288
5,21.0,,,0.2702,0.191297
6,,21.0,,0.2043,0.113094
7,27.0,,,0.2095,0.125424
8,,27.0,,0.2161,0.150826
9,,,7.0,0.2518,0.167275
10,,12.0,,0.3264,0.204365
11,,28.0,,0.25,0.170966
12,0.0,0.0,0.0,0.2253,0.100868
13,29.0,,,0.2603,0.131907
14,,29.0,,0.3439,0.120277
15,30.0,,,0.2353,0.137296
16,,11.0,,0.331,0.229754
17,,30.0,,0.2647,0.170436
18,31.0,,,0.3031,0.166171
19,,31.0,,0.2063,0.120304
20,32.0,,,0.2551,0.205121
21,33.0,,,0.2665,0.175768
22,,33.0,,0.2756,0.159831
23,34.0,,,0.2302,0.090114
24,,34.0,,0.1858,0.110259
25,35.0,,,0.296,0.180771
26,36.0,,,0.2434,0.115397
27,,36.0,,0.2717,0.15855
28,37.0,,,0.296,0.191845
29,,37.0,,0.2433,0.162172
30,38.0,,,0.2828,0.171028
31,,,1.0,0.2931,0.123562
32,39.0,,,0.1995,0.133803
33,,39.0,,0.3392,0.205556
34,40.0,,,0.2309,0.162048
35,,40.0,,0.3197,0.182587
36,41.0,,,0.2146,0.143622
37,,41.0,,0.3099,0.165794
38,42.0,,,0.1747,0.097252
39,,42.0,,0.2081,0.141395
40,43.0,,,0.2626,0.124687
41,,43.0,,0.2188,0.159481
42,44.0,,,0.3356,0.159975
43,,44.0,,0.2158,0.156261
44,0.0,0.0,0.0,0.255,0.146378
45,45.0,,,0.2172,0.094469
46,46.0,,,0.2129,0.131114
47,47.0,,,0.2787,0.183032
48,,47.0,,0.1916,0.124972
49,48.0,,,0.229,0.103405
50,,48.0,,0.3328,0.182332
51,49.0,,,0.233,0.12601
52,0.0,0.0,0.0,0.3235,0.204558
53,,49.0,,0.2653,0.170284
54,50.0,,,0.2226,0.147853
55,,,,0.2604,0.123616
56,,,,0.2776,0.14726
57,13.0,,,0.2759,0.214313
58,,,,0.2015,0.122671
59,,,,0.2798,0.124545
60,,,,0.3241,0.176426
61,,,,0.2164,0.075457
62,,,,0.2343,0.158146
63,0.0,0.0,0.0,0.245,0.151468
64,,,,0.2042,0.103068
65,,,,0.2396,0.113651
66,,9.0,,0.3142,0.210794
67,,,,0.2502,0.141741
68,,,46.0,0.2298,0.121818
69,,,,0.2414,0.149432
70,,,,0.1898,0.169447
71,,,,0.264,0.138818
72,,,,0.2132,0.138578
73,,,,0.2187,0.10167
74,,,,0.2401,0.17138
75,,,42.0,0.2519,0.182845
76,,,,0.2206,0.159542
77,,,,0.2567,0.144267
78,,,,0.2588,0.154174
79,,,,0.2289,0.15732
80,,,,0.2949,0.156813
81,,,,0.246,0.154646
82,,,,0.2232,0.202685
83,,,,0.2565,0.146914
84,,,,0.2668,0.158163
85,,,,0.2003,0.11288
86,,,,0.3239,0.164727
87,,,,0.2006,0.148195
88,,,,0.2413,0.093206
89,,,,0.2482,0.159611
90,,,35.0,0.2658,0.148258
91,,,,0.2059,0.146915
92,,,,0.2642,0.172517
93,,,,0.3169,0.185976
94,,,,0.1818,0.086076
95,,,,0.2595,0.158133
96,,,,0.2288,0.161667
97,0.0,0.0,0.0,0.2661,0.161845
98,,,,0.1809,0.124305
99,,,,0.1984,0.157421
100,,,,0.2292,0.13556
101,,,,0.295,0.181305
102,,,,0.244,0.159289
103,,,,0.271,0.158881
104,0.0,0.0,0.0,0.3067,0.183036
105,,16.0,,0.3167,0.205972
106,,,,0.3017,0.158949
107,,,,0.2754,0.101185
108,,,,0.3353,0.128648
109,,,,0.2091,0.14597
110,,,,0.1996,0.118817
111,24.0,,,0.2747,0.186289
112,,,,0.1554,0.098688
113,,,,0.28,0.201518
114,,,29.0,0.267,0.161076
115,,,,0.2694,0.117961
116,,,,0.315,0.19289
117,,,,0.1809,0.127646
118,,,,0.2667,0.145715
119,0.0,0.0,0.0,0.2628,0.206029
120,,,,0.3228,0.204673
121,,,,0.2358,0.183952
122,3.0,,,0.34,0.229517
123,,,,0.2455,0.128963
124,,,,0.2621,0.153937
125,,,,0.2152,0.158806
126,,,,0.3112,0.159387
127,,,,0.2761,0.122831
128,,,,0.2943,0.157638
129,,,33.0,0.1771,0.060354
130,,,6.0,0.2078,0.137083
131,,,,0.1713,0.170333
132,,,,0.3318,0.15657
133,0.0,0.0,0.0,0.2936,0.158561
134,,,,0.2735,0.110708
135,,,,0.2567,0.149038
136,,,,0.1442,0.123772
137,,,,0.169,0.137915
138,,,,0.2673,0.156455
139,,,,0.1591,0.112257
140,,,,0.3367,0.183801
