,iteration_qEHVI,iteration_qNEHVI,iteration_random,gap,zpve
0,,,,0.2179,0.113391
1,,,,0.2326,0.112581
2,,,,0.3179,0.168513
3,,,,0.1548,0.144168
4,0.0,0.0,0.0,0.2234,0.161563
5,,,,0.2625,0.170341
6,,,,0.3287,0.15948
7,,,,0.256,0.101607
8,,,,0.2984,0.138614
9,,,,0.2124,0.108916
10,,,,0.2524,0.134185
11,,,,0.3068,0.156878
12,,,,0.3354,0.202578
13,,,,0.3174,0.203314
14,,,,0.2097,0.128659
15,,,,0.1452,0.113198
16,,,,0.2186,0.145832
17,,,,0.2055,0.142321
18,,,,0.2442,0.15936
19,,,,0.3109,0.171433
20,,,,0.2178,0.134545
21,,,,0.267,0.168435
22,,,,0.2589,0.147334
23,,,,0.221,0.136795
24,,,,0.2494,0.124176
25,,,,0.3067,0.158928
26,,,,0.2792,0.171397
27,,,,0.1941,0.146588
28,,,,0.1902,0.111733
29,,,,0.2774,0.171799
30,,,,0.2675,0.125775
31,,,,0.2325,0.167963
32,,,,0.3177,0.160623
33,,,,0.3054,0.194675
34,,,,0.2262,0.080595
35,,,,0.3336,0.127826
36,,,,0.2772,0.193066
37,,,,0.2202,0.178554
38,,,,0.3224,0.207169
39,,,,0.3196,0.16446
40,,,,0.2168,0.081963
41,,,,0.308,0.148723
42,,,,0.234,0.120338
43,,,,0.1969,0.134322
44,,,,0.1945,0.15912
45,,,,0.2068,0.157083
46,,,,0.3302,0.153067
47,,,,0.3068,0.126109
48,,,,0.2746,0.125776
49,,,,0.1862,0.094807
50,,,,0.2994,0.173186
51,,,,0.3046,0.196969
52,,,,0.3075,0.135588
53,0.0,0.0,0.0,0.3223,0.187654
54,,,,0.201,0.100088
55,,,,0.2606,0.181329
56,,,,0.2184,0.201726
57,,,,0.2798,0.124545
58,,,,0.2364,0.130472
59,,,,0.3013,0.162281
60,,,,0.2453,0.186104
61,,,,0.1651,0.089516
62,0.0,0.0,0.0,0.2413,0.102661
63,,,,0.1481,0.114639
64,,,,0.3201,0.15512
65,,,,0.3005,0.179084
66,,,,0.294,0.192451
67,,,,0.333,0.18288
68,,,,0.2652,0.2015
69,,,,0.2368,0.147481
70,,,,0.1765,0.101318
71,,,,0.2983,0.147626
72,,,,0.277,0.182441
73,0.0,0.0,0.0,0.3201,0.109319
74,,,,0.2273,0.179554
75,0.0,0.0,0.0,0.3117,0.143918
76,,,,0.2559,0.214253
77,,,,0.3166,0.148227
78,,,,0.2009,0.146554
79,,,,0.2304,0.144367
80,,,,0.275,0.10773
81,0.0,0.0,0.0,0.3245,0.248365
82,,,,0.182,0.097751
83,,,,0.2082,0.127077
84,,,,0.2733,0.089077
85,,,,0.2531,0.171018
86,,,,0.3188,0.180846
87,,,,0.2222,0.150722
88,,,,0.2598,0.170767
89,,,,0.2041,0.191873
90,,,,0.2956,0.147712
91,,,,0.2119,0.151885
92,0.0,0.0,0.0,0.3186,0.18002
93,,,,0.1948,0.170637
94,,,,0.2425,0.145519
95,,,,0.2761,0.17233
96,,,,0.3062,0.203941
97,,11.0,,0.3227,0.228016
98,,,,0.317,0.224316
99,,,,0.197,0.126308
100,,,,0.2169,0.160424
101,,,,0.287,0.159961
102,0.0,0.0,0.0,0.2036,0.13984
103,,,,0.3317,0.186307
104,0.0,0.0,0.0,0.1704,0.110386
105,,,,0.1992,0.148827
106,,,,0.2767,0.192822
107,0.0,0.0,0.0,0.2476,0.145428
108,,,,0.2645,0.170909
109,,,,0.1979,0.106933
110,,,,0.3159,0.121217
111,,,,0.2325,0.125688
112,,,,0.2157,0.143922
113,,,,0.2622,0.1127
114,,,,0.3127,0.193278
115,,,,0.1705,0.147462
116,,,,0.2348,0.15898
117,,,,0.2645,0.128079
118,,,,0.2265,0.160739
119,,,,0.2779,0.165346
120,,,,0.2136,0.114204
121,,,,0.225,0.146671
122,9.0,,,0.34,0.229517
123,,,,0.3102,0.196936
124,,,,0.2212,0.13953
125,,,,0.2375,0.182667
126,,,,0.3203,0.203429
127,,,,0.3132,0.156682
128,,,,0.2466,0.124126
129,,,,0.2423,0.180768
130,,,,0.2614,0.127145
131,,,,0.1952,0.140409
132,,,,0.2361,0.160128
133,,,,0.1855,0.102027
134,,,,0.2175,0.165557
135,,,,0.1642,0.172087
136,,,,0.2289,0.113637
137,,,,0.2174,0.115883
138,,,,0.2088,0.125086
139,,,,0.2766,0.12452
140,,,,0.2381,0.17205
141,,,,0.3313,0.199697
142,,,,0.3017,0.179868
143,,,,0.2669,0.191331
144,,,,0.2073,0.149834
145,,,,0.3206,0.1145
146,,,,0.2636,0.171448
147,,,,0.2597,0.089445
148,,,,0.2646,0.124277
149,,,,0.2853,0.169212
150,,,,0.3071,0.180812
151,,,,0.2486,0.109975
152,,,,0.1525,0.123739
153,,,,0.2697,0.124095
154,,,,0.2428,0.171593
155,,,,0.3364,0.138213
156,0.0,0.0,0.0,0.2273,0.056456
157,,,,0.1618,0.100705
158,,,,0.2811,0.1363
159,,,,0.1643,0.112385
160,,,,0.2732,0.195419
161,,,,0.2345,0.173484
162,,,,0.3353,0.205937
163,,,,0.2826,0.180568
164,,,,0.3194,0.18059
165,,,,0.2116,0.111449
166,,,,0.2047,0.171499
167,,,,0.2186,0.120235
168,,,,0.2321,0.124889
169,,,,0.2375,0.147609
170,,,,0.1862,0.092567
171,,,,0.2501,0.122222
172,,,,0.2468,0.156906
173,0.0,0.0,0.0,0.2162,0.149715
174,,,,0.2131,0.159262
175,,,,0.2824,0.174983
176,,,,0.1887,0.112804
177,,,,0.292,0.155651
178,,,,0.2214,0.204498
179,,,,0.2161,0.160107
180,,,,0.2847,0.147455
181,,,,0.2644,0.169834
182,0.0,0.0,0.0,0.3187,0.181232
183,,,,0.2442,0.080957
184,,,,0.2027,0.123247
185,,,,0.3064,0.19448
186,,,,0.1969,0.153275
187,,,,0.3181,0.181807
188,,,,0.2662,0.169315
189,,,,0.2204,0.107947
190,,,,0.1815,0.103214
191,2.0,,,0.1929,0.066182
192,,,,0.2498,0.142167
193,,,,0.1977,0.087942
194,,,,0.3279,0.184952
195,,,,0.2245,0.133938
196,,,,0.2949,0.19523
197,,,,0.2192,0.107968
198,,,,0.1586,0.095612
199,,,,0.3054,0.179568
200,,,,0.2451,0.123446
201,,,,0.1697,0.124147
202,,,,0.3259,0.181097
203,,,,0.2412,0.103326
204,,,,0.2289,0.150882
205,,,,0.2714,0.145081
206,,,,0.26,0.15088
207,,,,0.3014,0.192457
208,,,,0.211,0.137494
209,,,,0.3018,0.198381
210,0.0,0.0,0.0,0.2483,0.171304
211,,,,0.2355,0.150105
212,,,,0.2388,0.126153
213,,,,0.2261,0.117233
214,,,,0.2753,0.149235
215,0.0,0.0,0.0,0.2849,0.127562
216,,9.0,,0.2848,0.1628
217,,,,0.2877,0.180726
218,,,,0.3173,0.206845
219,,,,0.2323,0.159353
220,,,,0.3488,0.179978
221,,,,0.1639,0.114731
222,,,,0.2473,0.106582
223,,,,0.2715,0.171587
224,,,,0.1704,0.114453
225,,,,0.1931,0.147016
226,,,,0.217,0.159416
227,,,,0.3379,0.204485
228,,,,0.2002,0.125232
229,,,,0.2611,0.173303
230,0.0,0.0,0.0,0.24,0.147974
231,,,,0.2711,0.140716
232,,,,0.3088,0.146633
233,,,,0.1569,0.096463
234,,,,0.1912,0.124786
235,,,,0.1907,0.114955
236,,,,0.2934,0.170148
237,,,,0.1823,0.080291
238,,,,0.3065,0.14929
239,,,,0.2047,0.090161
240,,,,0.2036,0.11059
241,,,,0.2755,0.157113
242,,,,0.1895,0.131216
243,,6.0,,0.3335,0.249927
244,,,,0.2786,0.136166
245,,,,0.2186,0.134541
246,,,,0.168,0.1519
247,,,,0.1629,0.086111
248,,,,0.1663,0.07778
249,,,,0.2035,0.111268
250,,,,0.2695,0.134354
251,,,,0.2481,0.11296
252,,,,0.2451,0.133571
253,,,,0.1574,0.154788
254,,,,0.242,0.165993
255,,,,0.3112,0.181276
256,,,,0.2085,0.156396
257,10.0,,,0.3222,0.178167
258,,,,0.3096,0.136003
259,,5.0,,0.3512,0.229891
260,,,,0.2196,0.156874
261,,,,0.2658,0.149954
262,,,,0.2656,0.149706
263,,,,0.2093,0.113735
264,,,,0.1807,0.132526
265,,,,0.2652,0.187123
266,,,,0.2941,0.173878
267,,10.0,,0.2827,0.176767
268,,,,0.2194,0.122191
269,,,,0.2203,0.123845
270,,,,0.2199,0.125123
271,1.0,,,0.3547,0.05143
272,,,,0.2403,0.125964
273,,,,0.2194,0.179535
274,,,,0.2195,0.132545
275,,,,0.2209,0.136469
276,,,,0.2441,0.137143
277,,,,0.2765,0.134013
278,,,,0.2257,0.1298
279,,,,0.311,0.180637
280,,,,0.2221,0.1567
281,,,,0.2461,0.169487
282,,,,0.2394,0.171304
283,,,,0.2942,0.177756
284,,,,0.1791,0.132933
285,,,,0.2007,0.168427
286,0.0,0.0,0.0,0.3006,0.147432
287,,,,0.2963,0.180512
288,,,,0.1743,0.103158
289,,,,0.1932,0.159807
290,,,,0.2112,0.124862
291,,,,0.2044,0.136671
292,,,,0.2088,0.113177
293,,,,0.1761,0.106712
294,,,,0.3062,0.209131
295,,,,0.2182,0.150021
296,,,,0.2152,0.112154
297,,,,0.2724,0.191504
298,,,,0.223,0.15242
299,,,,0.2292,0.178718
300,,,,0.2523,0.204261
301,,,,0.3206,0.184954
302,,,,0.3465,0.141536
303,,,,0.2203,0.168349
304,,,,0.2085,0.090708
305,,,,0.2008,0.15054
306,,,,0.2594,0.124211
307,,,,0.2215,0.107684
308,,,,0.2965,0.171416
309,,,,0.2128,0.136722
310,,,,0.2825,0.16822
311,,,,0.2635,0.184195
312,,,,0.1998,0.11891
313,,,,0.3184,0.193553
314,0.0,0.0,0.0,0.2298,0.111299
315,0.0,0.0,0.0,0.1992,0.146238
316,,,,0.2247,0.203357
317,,,,0.2533,0.124637
318,,,,0.3131,0.161044
319,0.0,0.0,0.0,0.212,0.147044
320,,,,0.1564,0.089066
321,,,,0.3299,0.206885
322,,,,0.2352,0.10059
323,,,,0.3182,0.149193
324,,,,0.1969,0.104012
325,,,,0.1708,0.136105
326,,,,0.1843,0.099797
327,,,,0.2153,0.179119
328,,3.0,,0.3079,0.226573
329,,,,0.2213,0.145242
330,,,,0.3248,0.22666
331,,,,0.169,0.074031
332,,,,0.2883,0.158582
333,,,,0.3214,0.106844
334,,,,0.2756,0.165886
335,,,,0.2637,0.155664
336,,,,0.2743,0.157833
337,,,,0.2895,0.182974
338,,,,0.2188,0.179356
339,,,,0.2882,0.157242
340,,,,0.225,0.125709
341,,,,0.2116,0.137443
342,,,,0.2328,0.12867
343,,,,0.1559,0.098447
344,,,,0.3537,0.177348
345,,,,0.2071,0.107085
346,,,,0.1722,0.07921
347,,,,0.2791,0.171405
348,,,,0.1997,0.132062
349,,,,0.2026,0.157394
350,,,,0.2074,0.122627
351,,,,0.2547,0.090442
352,,,,0.1765,0.135347
353,0.0,0.0,0.0,0.1495,0.135225
354,,,,0.2599,0.134989
355,,,,0.1964,0.125918
356,,,,0.3048,0.215529
357,,,,0.3286,0.20351
358,0.0,0.0,0.0,0.2147,0.168783
359,,,,0.2869,0.167989
360,,,,0.2822,0.168605
361,0.0,0.0,0.0,0.2217,0.159056
362,,,,0.2184,0.146258
363,,,,0.2002,0.147348
364,,,,0.1655,0.137228
365,,,,0.2282,0.096767
366,,,,0.2138,0.147917
367,,,,0.2181,0.126543
368,,,,0.1686,0.076789
369,,,,0.3165,0.159457
370,,,,0.2221,0.123613
371,,,,0.3194,0.203953
372,,,,0.2465,0.161009
373,,,,0.2794,0.148915
374,,,,0.2632,0.135509
375,,,,0.3018,0.17121
376,,,,0.2163,0.144557
377,,,,0.1978,0.103532
378,,,,0.2146,0.149065
379,,,,0.2445,0.124273
380,,,,0.1741,0.113153
381,,,,0.2087,0.168008
382,,,,0.2405,0.160947
383,,,,0.1547,0.099949
384,,,,0.2235,0.131436
385,,,,0.2159,0.157038
386,0.0,0.0,0.0,0.201,0.04963
