,iteration_qEHVI,iteration_qNEHVI,iteration_random,mu,G_free_energy
0,,,,4.783,-437.937408
1,,,,3.3831,-422.972973
2,,,,1.4861,-424.217061
3,,,,1.6505,-403.15108
4,,17.0,,0.8161,-505.917126
5,,,,4.014,-440.304468
6,,,,5.1291,-401.987566
7,,,,3.7456,-419.274541
8,,,,0.6796,-460.14428
9,,,,3.3277,-422.085057
10,,,,2.1547,-458.977453
11,,,,1.6068,-396.015532
12,,,,1.4494,-388.322695
13,,,,6.4589,-380.980582
14,,,,4.8876,-442.142217
15,,,,0.6609,-349.931104
16,0.0,0.0,0.0,1.4192,-434.145428
17,,,,4.7355,-418.104462
18,,,,1.5663,-387.127938
19,20.0,,,5.3565,-473.826657
20,,,,1.7046,-387.089867
21,,,,1.9714,-307.570981
22,,14.0,,2.1849,-460.171152
23,,,,2.5973,-423.03306
24,0.0,0.0,0.0,2.5069,-401.969341
25,,,,1.8572,-346.568962
26,,,,5.5214,-362.715206
27,0.0,0.0,0.0,2.3441,-403.118927
28,,,,4.5403,-382.075536
29,,,,2.9755,-418.053968
30,,,,2.5497,-401.912893
31,,,,3.7977,-286.571234
32,,,,4.2488,-440.375419
33,39.0,,,3.4901,-457.823974
34,0.0,0.0,0.0,1.968,-460.195201
35,,,,3.548,-362.670938
36,,,,1.7869,-403.144647
37,,,,0.9504,-431.707298
38,,,,3.9385,-418.08174
39,0.0,0.0,0.0,1.6725,-387.114738
40,,,,2.1817,-363.895306
41,,,,2.4482,-426.082116
42,0.0,0.0,0.0,2.6489,-416.681772
43,,,,5.6458,-453.992565
44,,,,2.3873,-424.257195
45,,27.0,,6.0503,-476.298864
46,,,,2.9665,-387.11192
47,,,,1.3504,-389.524243
48,,,,2.8842,-362.74632
49,,,,2.2184,-361.749881
50,,,,0.3251,-424.241763
51,,,,2.4587,-403.1624
52,,,,3.7775,-324.601461
53,,,,2.4836,-423.282694
54,,,7.0,4.7993,-461.410046
55,,,,3.629,-451.341647
56,,34.0,,3.769,-414.703196
57,,,,2.9799,-403.159562
58,,,,1.8094,-401.0356
59,0.0,0.0,0.0,1.8338,-439.101291
60,,,,4.6287,-418.009665
61,,,,0.9719,-423.003366
62,,,,2.2612,-476.288614
63,,,,2.7632,-404.377795
64,,,,2.1188,-439.134919
65,,,,1.6598,-435.305121
66,,,,1.8297,-366.080639
67,,,,6.391,-418.072199
68,,,45.0,3.6503,-401.967968
69,,,,0.2529,-351.209634
70,16.0,,,5.4257,-472.671193
71,,,,3.6194,-307.364476
72,,28.0,,6.5322,-402.278977
73,,,,3.053,-345.596733
74,50.0,,,2.9593,-460.220286
75,,,,0.8682,-423.009601
76,,24.0,,4.6941,-421.903706
77,,,,1.6371,-425.47871
78,,,49.0,3.3262,-458.998474
79,,,,0.4551,-403.138702
80,,,,1.2864,-403.145144
81,,,,3.1866,-421.798956
82,,,,0.2296,-352.375173
83,,,,0.3227,-348.796851
84,,,,0.6638,-455.205649
85,,,,4.5639,-440.286206
86,,,,2.9472,-387.124657
87,37.0,,,4.1928,-470.054195
88,,,,1.2697,-417.934478
89,,,,2.8436,-388.332862
90,,,,2.2843,-403.134129
91,,,,1.894,-439.155507
92,,,,3.2245,-455.21053
93,27.0,,,6.2321,-452.780842
94,0.0,0.0,0.0,3.0914,-456.395531
95,,,,3.2076,-423.059154
96,,,,2.6461,-424.302796
97,,,,2.8998,-423.034404
98,,41.0,,1.4732,-361.739673
99,,,,1.181,-383.260758
100,,,,2.8755,-440.370337
101,,,13.0,1.3539,-389.524126
102,,,,2.9238,-457.739505
103,,,,0.2665,-349.978001
104,,,,2.0936,-401.920462
105,,,,4.2701,-440.356665
106,,,,1.2346,-368.403361
107,,,,1.9033,-345.316429
108,,,,2.5699,-450.190922
109,,,,7.7108,-373.789454
110,,,,3.2212,-457.824467
111,,9.0,,4.0389,-484.859132
112,,,,2.0892,-423.076058
113,7.0,,,2.8074,-505.845418
114,,,20.0,1.1718,-461.371408
115,,,,2.3205,-425.436287
116,,,,0.725,-455.212907
117,0.0,0.0,0.0,3.7837,-460.203398
118,,,,0.4488,-418.047305
119,,,,2.8275,-437.778554
120,,,,4.7112,-379.993903
121,0.0,0.0,0.0,0.6237,-423.013121
122,,,,0.9516,-390.736994
123,,,,3.994,-403.181637
124,,,,2.3714,-437.92347
125,,,,2.7699,-440.299796
126,,,,1.3907,-421.806229
127,,,47.0,1.3392,-421.759518
128,,,,3.4103,-401.933886
129,,,,4.0826,-437.847151
130,,,,1.4799,-308.494779
131,,,,1.5574,-364.698259
132,,,,3.1274,-403.114198
133,,,,1.4616,-388.308873
134,,,,2.1395,-403.098045
135,,,,4.2346,-439.078566
136,,,,0.8381,-419.267483
137,,,,1.3111,-389.517219
138,,7.0,,1.951,-458.126315
139,,,,1.2914,-384.643533
140,0.0,0.0,0.0,5.6591,-439.181373
141,,,,1.1394,-389.513919
142,,,,1.7857,-341.609949
143,,,,1.3834,-363.899315
144,,,,1.7689,-457.798021
145,,,,1.9979,-403.112854
146,,,,2.1634,-441.503561
147,,,,1.1527,-364.74799
148,,,,0.8798,-350.229684
149,,,,1.8692,-423.04326
150,,,,2.9139,-386.206972
151,,,,3.3824,-382.136162
152,,,24.0,2.7153,-418.002164
153,,,,2.1378,-434.121588
154,,,,3.3895,-439.124436
155,,,,3.2745,-460.183017
156,,,,1.6354,-388.329777
157,,,,3.0117,-325.783639
158,,,,3.0745,-403.187087
159,,,,2.0129,-388.291683
160,,,,0.8154,-401.912213
161,,38.0,,3.7793,-437.915362
162,,,,2.7297,-437.810896
163,,,,0.6276,-461.439348
164,41.0,,,2.0377,-455.151929
165,,,,2.3644,-441.561128
166,0.0,0.0,0.0,3.2711,-486.033074
167,,,,1.8576,-384.977752
168,,,,1.7926,-418.072995
169,,,,4.2472,-366.090559
170,,,,6.8217,-413.058036
171,,,,0.9031,-417.975725
172,,,,2.6643,-455.246073
173,,,,2.567,-326.975273
174,,,,3.1883,-413.045766
175,0.0,0.0,0.0,4.4652,-400.791368
176,,,,0.0276,-353.604494
177,0.0,0.0,0.0,1.2788,-439.132808
