,iteration_qEHVI,iteration_qNEHVI,iteration_random,mu,alpha
0,,,,5.9707,71.88
1,38.0,,,0.2636,93.18
2,,,,1.2873,77.08
3,,,,3.0073,77.91
4,,,,2.8932,75.17
5,,,,4.4851,52.58
6,,45.0,,3.8824,79.11
7,0.0,0.0,0.0,3.5459,79.68
8,,,,2.6776,70.34
9,,,,1.4854,71.62
10,,,,2.6513,77.82
11,,,43.0,0.2761,74.53
12,,,,0.6192,76.21
13,,,,1.4315,81.82
14,5.0,,,1.154,88.2
15,,33.0,,1.4656,100.95
16,,,,2.2409,68.19
17,,,,0.5272,77.91
18,,,,1.2452,68.23
19,,,,2.6976,75.42
20,33.0,,,1.3599,88.31
21,,,,1.5818,80.14
22,0.0,0.0,0.0,1.2618,81.82
23,,,,6.5665,56.81
24,,,,1.9795,76.44
25,,,,3.0199,79.71
26,,,,1.8333,69.67
27,,,18.0,1.9724,84.95
28,,,,4.0216,73.19
29,,,,1.7662,71.69
30,,,,1.9201,77.57
31,,,,0.7198,84.66
32,,,,3.9478,81.98
33,,,,3.4006,77.2
34,,,,1.9661,83.48
35,,,,4.5782,73.82
36,,,,2.3996,88.76
37,,16.0,,1.3817,88.74
38,6.0,,,0.0869,91.64
39,,,,3.3087,66.9
40,,,,1.4938,72.9
41,,,,5.7855,61.83
42,,,,3.6748,74.84
43,,,,3.0812,74.96
44,,,,4.2566,80.28
45,,,,1.6596,72.16
46,,,39.0,4.4495,59.28
47,,,,2.9733,76.76
48,,,,1.8861,70.94
49,,,,0.6521,78.27
50,,,,3.9099,76.7
51,,,,3.6805,73.08
52,,,,2.5821,69.89
53,,,,2.4961,78.23
54,,,,3.408,72.26
55,0.0,0.0,0.0,1.3426,82.23
56,,,,2.7683,76.38
57,11.0,,,1.9357,88.53
58,,,,2.1968,79.43
59,,,,1.3762,83.15
60,,,,2.8986,72.63
61,,,,2.1997,70.2
62,,,,1.511,83.31
63,,,,1.1409,81.28
64,,,,3.0386,77.08
65,,,,1.0464,77.29
66,,,,1.9638,84.36
67,,,,1.7468,64.44
68,,,,1.0117,79.17
69,,,,1.804,75.93
70,0.0,0.0,0.0,1.1906,68.18
71,,,,3.2353,49.38
72,,,,3.809,62.55
73,16.0,,,2.5207,86.43
74,,,,1.6646,87.29
75,,,,2.7923,75.92
76,,,,2.3373,71.68
77,,,,1.2697,78.74
78,,,,1.7676,68.36
79,0.0,0.0,0.0,2.2843,76.8
80,,39.0,,4.3603,84.73
81,,,,2.5166,83.06
82,,,,1.8912,82.28
83,,,,1.9723,67.87
84,,,,1.269,84.91
85,,,,1.3285,84.56
86,,,,1.4852,59.34
87,,,,2.8479,81.39
88,,,,1.7331,78.78
89,32.0,,,0.8193,92.05
90,,,,4.4952,61.37
91,,,,1.8364,74.81
92,,,,1.5556,78.5
93,,,,2.486,71.87
94,,,,3.1075,73.09
95,28.0,,,5.7591,80.83
96,,,,2.2063,81.19
97,0.0,0.0,0.0,1.6235,72.02
98,,,,4.8041,60.17
99,,,,1.5773,72.86
100,,,,1.5561,78.01
101,,,,0.4357,78.47
102,,,,2.4237,54.01
103,,,,2.825,74.46
104,,,,4.257,73.64
105,,,17.0,4.0078,83.86
106,,,,3.7184,77.07
107,,,,1.2488,74.85
108,,,,3.9547,68.58
109,,,,4.1384,74.52
110,,,,1.6608,66.92
111,,,,4.3935,71.14
112,,,,3.0669,53.52
113,,,,3.0326,79.11
114,,,,1.2846,71.36
115,,,,1.8359,68.3
116,0.0,0.0,0.0,0.9146,77.02
117,,,,1.3725,76.65
118,,,,4.919,73.17
119,,,,2.5294,73.45
120,,,,3.6115,82.85
121,,,,2.8354,74.36
122,,,,2.6679,77.6
123,,,12.0,1.9613,85.16
124,,,,5.2713,73.71
125,,26.0,,11.1767,86.37
126,,,,1.9073,79.03
127,,,,3.3747,76.2
128,,,,3.5876,69.01
129,,,,3.659,76.95
130,,,,4.0166,76.32
131,,,,1.558,79.82
132,,,,3.3447,71.92
133,,,27.0,4.8477,79.46
134,,,,1.5547,69.7
135,0.0,0.0,0.0,3.5992,70.7
136,,,,5.8058,70.26
137,,,,1.5625,80.7
138,,,,4.0207,68.83
139,0.0,0.0,0.0,0.9016,72.53
140,,,,1.3381,84.93
141,,27.0,,1.2577,88.9
142,48.0,,,1.2712,89.54
143,,,40.0,4.6409,74.76
144,,,,2.4605,61.73
145,,,,0.7479,71.36
146,,,,2.5919,78.24
147,0.0,0.0,0.0,1.0944,85.53
148,,,,1.5784,73.19
149,,,,2.9822,79.08
150,,,,3.6453,64.56
151,0.0,0.0,0.0,3.5817,55.65
152,,,35.0,2.2392,75.22
153,,,,1.0289,70.38
154,,,,3.3758,83.52
155,,7.0,,0.8114,91.74
156,,,,3.9654,74.8
157,,,,3.6427,68.38
158,,,,1.004,84.16
159,,,,4.6669,67.55
160,,,,3.026,78.81
161,,,,4.38,65.63
162,,,,1.8315,66.79
163,21.0,,,1.5728,84.69
164,,,,2.3303,62.83
165,,,,1.4316,79.77
166,,,,2.3043,73.43
167,,,,2.3036,78.25
168,,,,2.6548,77.3
169,,,,2.3671,71.21
170,,,,4.0571,78.01
171,,,,1.0455,81.89
172,,,,5.098,76.05
173,,,,5.942,62.03
174,,,,2.1513,81.04
175,,,,6.5098,76.9
176,,4.0,,3.2603,87.94
177,,,,1.021,83.07
178,,,,3.6753,74.1
179,,,,3.2992,71.12
180,14.0,,,0.246,91.19
181,,,,1.3891,77.59
182,,,,1.3776,72.42
183,,,,3.9298,68.52
184,,,,1.7955,75.3
185,,,,2.9807,74.9
186,,,,3.7615,81.97
187,,,,2.0279,76.66
188,,,,2.3336,71.03
189,,,,2.6977,74.63
190,,,,0.2151,70.45
191,26.0,,,3.2933,79.74
192,,,,2.5671,70.09
193,,,,2.0793,49.75
194,,,,3.5837,69.95
195,,,,3.083,74.29
196,,21.0,,1.2219,86.22
197,,,,1.2725,62.95
198,,,,4.4788,75.06
199,,,,3.6203,77.14
200,,,,0.3824,72.13
201,,,,7.1271,80.68
202,,,16.0,2.8382,71.86
203,,,,1.6463,70.71
204,,,,1.418,62.84
205,,,,4.0675,69.46
206,,,,1.3908,74.72
207,,,,2.172,74.07
208,,,,2.6251,77.58
209,,,,2.8553,82.32
210,0.0,0.0,0.0,4.1128,75.93
211,,,,3.2164,66.33
212,,,,4.9854,75.18
213,,9.0,,1.3052,91.78
214,,23.0,,2.6737,81.69
215,,,,3.873,69.07
216,,,,1.8963,84.81
217,,,,1.8833,71.84
218,,,,6.3962,70.05
219,,,,3.6282,69.75
220,,,34.0,3.9195,57.19
221,,,,2.3241,81.88
222,,,,1.8503,87.69
223,,,,1.8419,66.74
224,,,,2.1715,61.24
225,,,,3.1648,78.59
226,,,,3.8794,73.79
227,,,,2.4291,55.89
228,,,,2.6368,80.23
229,,,,4.2039,70.32
230,,30.0,,3.5399,84.82
231,,,,2.147,78.58
232,,,,3.828,63.68
233,,,,2.8123,76.08
234,,,,1.0703,74.32
235,,22.0,,4.011,86.52
236,,,,4.8474,70.96
237,,,,4.128,67.52
238,,,,3.0149,77.8
239,,,,3.516,73.25
240,0.0,0.0,0.0,1.5416,73.58
241,0.0,0.0,0.0,4.5158,78.25
242,,,,2.4992,80.01
243,37.0,,,1.8065,89.02
244,,,,1.6505,64.15
245,,,,4.3499,77.35
246,,,,4.4783,77.79
247,,,,2.7921,85.89
248,,,,1.871,73.96
249,,,,2.276,71.07
250,,,,2.6492,80.44
251,,,,4.0359,73.34
252,35.0,,,0.9659,84.6
253,,,,5.3567,64.59
254,,,,0.7997,63.78
255,,,,1.479,84.97
256,,,,2.4992,78.79
257,,,,1.9895,83.92
258,,,,4.9073,72.5
259,0.0,0.0,0.0,0.1946,89.33
260,,,,1.7086,81.32
261,,,,4.0452,73.63
262,,,,1.8558,69.6
263,,,,1.8513,71.99
264,,,,3.6646,73.06
265,,,,2.2535,73.12
266,,,,2.4777,69.29
267,0.0,0.0,0.0,5.1749,71.59
268,,,,1.6535,72.53
269,,,,3.0321,69.75
270,,,,3.2399,69.0
271,,,,5.165,76.8
272,,,,4.8811,65.63
273,,,,2.7418,81.04
274,,,,2.6986,76.2
275,,47.0,,1.4744,84.89
276,,,,5.4607,71.66
277,,,,3.96,79.55
278,,,,2.8774,68.75
279,,,,2.4491,68.46
280,22.0,,,3.5064,82.64
281,,49.0,,2.8552,81.78
282,,,,5.566,77.55
283,0.0,0.0,0.0,2.1899,81.16
284,,,,2.4215,57.26
285,,,,1.7488,68.58
286,,,,1.2721,77.49
287,0.0,0.0,0.0,3.7177,60.8
288,,29.0,,1.0846,90.65
289,,,,1.7992,82.39
290,,,,1.6272,80.19
291,,,,3.6336,73.89
292,0.0,0.0,0.0,4.831,77.61
293,,,,5.2836,76.65
294,,,,1.5778,78.52
295,,,,3.8469,71.01
296,,,,1.609,71.17
297,19.0,,,4.2219,87.22
298,,,30.0,3.0022,59.11
299,,,,1.4228,69.9
300,,,3.0,2.1926,76.98
301,,,,3.1675,71.98
302,,,,4.3871,72.36
303,,,,3.0708,70.62
304,,,,2.4262,82.74
305,,,,3.7953,76.21
306,,,,3.9866,54.36
307,,,,4.4486,64.99
308,,,,1.3974,73.09
309,,,,2.9812,65.54
310,,5.0,,9.3767,78.89
311,,,,2.6,58.91
312,,,,5.9374,70.41
313,,,,1.6505,80.54
314,,,,3.5342,63.76
315,,,,3.1307,71.64
316,,,,2.3936,73.79
317,,,,2.408,55.4
318,,,,2.5798,61.58
319,,,,5.4285,66.28
320,,,,3.8078,84.8
321,,,,2.8849,82.24
322,,,,3.205,70.1
323,,,49.0,1.2022,78.92
324,,,,2.4568,75.33
325,,,,0.6041,86.51
326,,,,6.7162,68.24
327,,,,1.6244,76.46
328,,,,3.3548,76.93
329,47.0,,,0.7798,84.16
330,,,,1.127,84.71
331,,,,2.6307,70.07
332,,,,2.6766,51.32
333,,,,2.7625,64.47
334,,,,1.5332,81.64
335,,,,3.4855,64.22
336,,,6.0,1.9246,60.69
337,,,,4.0323,69.16
338,,,,1.6186,72.43
339,,,,3.3317,73.62
340,7.0,,,4.9035,69.32
341,,,,5.9169,68.17
342,,,,3.9448,76.48
343,,,2.0,4.6669,79.22
344,,,,2.6805,72.18
345,,,,2.9748,61.89
346,,,,0.5925,77.66
347,,,,4.6123,69.23
348,,,,4.5987,75.8
349,,,,3.9593,66.33
350,,,,1.3399,85.01
351,,,,3.165,66.55
352,,50.0,,3.4764,79.7
353,,,,5.7142,68.68
354,,,,1.139,81.77
355,,,,1.8133,55.96
356,,,,2.8718,72.24
357,,,,2.9969,78.02
358,,,,2.6706,71.53
359,,,,0.9873,75.21
360,,,,3.2276,57.77
361,,,,3.7432,65.59
362,,,,2.5896,84.79
363,,,,3.2382,72.21
364,,,,4.4725,74.64
365,,,,2.885,77.03
366,,,42.0,1.296,84.66
367,,,37.0,1.0255,69.85
368,,,,1.9021,74.49
369,,,,3.6755,81.07
370,,,38.0,5.1,68.93
371,,,,2.3034,78.12
372,45.0,,,1.7527,86.67
373,,,26.0,3.3153,75.2
374,,,,1.1436,81.41
375,,,,3.0647,86.0
376,,,,4.8194,73.97
377,,,,2.4664,68.55
378,,,,4.7087,81.55
379,,,,1.8787,64.9
380,41.0,,,3.8424,83.36
381,,,,0.8788,80.93
382,,,,1.8246,84.18
383,,,,1.9801,75.06
384,,,,2.6703,77.54
385,,,,1.5238,75.95
386,,,,2.8487,64.28
387,,,,2.4381,60.01
388,,18.0,,1.323,86.46
389,,,,3.4487,68.54
390,,,,2.5141,81.08
391,,,,2.2869,69.64
392,44.0,,,1.6384,85.09
393,,,,3.9324,74.83
394,,,,1.7678,72.76
395,,,,2.1496,70.22
396,0.0,0.0,0.0,0.1074,95.83
397,,,8.0,1.5346,79.03
398,,,,1.929,64.02
399,,,,3.6038,75.39
400,,,13.0,3.9623,69.26
401,,,,1.8971,80.14
402,,,,2.6196,68.97
403,,,,4.4768,57.51
404,,,,3.6026,78.42
405,3.0,,,0.0585,91.3
406,,,,1.6942,80.89
407,,,,2.1082,84.16
408,20.0,,,0.6042,92.15
409,,,,1.4814,74.11
410,,,,4.5933,73.22
411,,,,2.9229,68.72
412,,,,4.4014,66.83
413,,,,1.2128,59.05
414,,,,3.8176,65.14
415,,,,2.2489,62.85
416,0.0,0.0,0.0,1.651,77.83
417,,1.0,,1.3529,91.7
418,,,,1.549,74.88
419,0.0,0.0,0.0,3.6236,82.03
420,,,,5.1164,79.14
421,,,,4.8657,79.44
422,,,,3.2137,64.69
423,,32.0,,2.8356,81.68
424,,,,0.2766,69.38
425,,,,2.1785,69.82
426,,,,1.7996,82.62
427,,,,4.4022,64.1
428,,,,1.4898,73.03
429,,,,2.2051,56.3
430,,,,3.9199,79.63
431,,,,1.7886,80.59
432,,,,1.7079,70.42
433,,,,2.1465,84.56
434,,,,3.4818,71.22
435,,,,5.9599,56.52
436,17.0,,,0.8932,93.76
437,,,,3.7283,59.55
438,,37.0,,4.244,83.36
439,,,,3.8301,77.15
440,,,,2.6852,73.0
441,,,,1.6656,72.19
442,,,,4.696,77.99
443,,,,1.4469,79.57
444,,,,4.8736,88.12
445,,,,4.7888,74.16
446,,,,3.8064,73.82
447,,,,4.071,76.82
448,0.0,0.0,0.0,2.0794,83.58
449,,,,2.8776,75.18
450,,,,4.3339,72.85
451,,,,1.5901,83.03
452,12.0,,,1.0976,91.2
453,,,,4.4351,63.6
454,,,,2.495,80.0
455,,,,2.4439,82.89
456,,,,4.202,80.04
457,,,,1.8872,70.96
458,,,,2.7611,67.47
459,,,,2.1995,80.38
460,,36.0,,4.3169,85.04
461,,,,3.8378,69.69
462,,,,1.0051,79.15
463,0.0,0.0,0.0,1.2389,74.35
464,,,11.0,4.0771,61.57
465,,34.0,,1.5094,85.13
466,,,,2.2923,55.73
467,,,,1.7861,80.67
468,,,,1.4338,91.21
469,,,,1.9142,61.49
470,,,,5.3149,71.28
471,,,,3.9401,67.33
472,,,,2.8597,77.62
473,,,,3.6805,65.58
474,,,,3.2374,85.44
475,,,,3.3002,80.68
476,,,,2.1887,78.59
477,,,,1.0615,78.73
478,,,,1.5061,67.25
479,46.0,,,0.8092,95.58
480,39.0,,,0.9785,82.37
481,,,,3.6121,52.8
482,,,,1.1827,79.06
483,,,,1.7371,64.4
484,,,,1.781,84.26
485,,,,2.1539,72.8
486,,,9.0,2.7821,62.27
