,iteration_qEHVI,iteration_qNEHVI,iteration_random,mu,gap
0,35.0,,,1.2401,0.2582
1,0.0,0.0,0.0,2.827,0.2171
2,36.0,,,4.2454,0.2488
3,38.0,,,3.4226,0.2187
4,39.0,,,2.2703,0.2825
5,40.0,,,0.84,0.2326
6,42.0,,,1.4939,0.2782
7,,,27.0,2.561,0.3228
8,43.0,,,4.9214,0.2756
9,44.0,,,1.5197,0.2221
10,45.0,,,0.7222,0.2303
11,46.0,,,2.7173,0.2053
12,0.0,0.0,0.0,3.7065,0.2399
13,47.0,,,2.5307,0.3267
14,48.0,,,2.2519,0.2193
15,49.0,,,0.9048,0.2828
16,50.0,,,2.2713,0.2771
17,,,,0.6192,0.2665
18,,,,4.8859,0.2511
19,,,,3.7766,0.2643
20,,,,1.3413,0.336
21,,,,2.8454,0.2817
22,,,,1.5676,0.2594
23,,,,1.3263,0.2224
24,,,,3.117,0.2626
25,,,,2.2316,0.2388
26,,,5.0,1.4358,0.1536
27,,,,1.151,0.2156
28,,,,6.2963,0.2826
29,,,,2.6976,0.2987
30,,,,2.0685,0.2427
31,,,,3.6086,0.2908
32,,,,4.2488,0.2283
33,,,,1.6493,0.2488
34,,,,2.1165,0.3007
35,,,,3.9303,0.2785
36,,,,2.1133,0.1825
37,,,,2.6389,0.2199
38,,,,1.4577,0.3141
39,,,,6.0206,0.265
40,,,,2.4565,0.2297
41,,,,1.6902,0.3148
42,,,,2.3979,0.2301
43,,,,2.328,0.2198
44,,,,4.022,0.261
45,,,,2.2564,0.3116
46,,,,4.486,0.2558
47,,,,3.8133,0.2113
48,,,,4.3031,0.1751
49,,,,1.7854,0.2624
50,,,,2.1375,0.2051
51,,,,1.8653,0.3189
52,,,,2.2904,0.3253
53,,,24.0,3.716,0.1832
54,,,,1.3489,0.25
55,0.0,0.0,0.0,1.4225,0.1492
56,,,,2.6718,0.1853
57,,15.0,,5.0547,0.1923
58,,,,4.4438,0.2674
59,,,,3.4132,0.2454
60,,,1.0,2.3714,0.1739
61,,,,3.4149,0.2746
62,,,,5.0219,0.1961
63,,,,3.9367,0.2781
64,,,,3.9931,0.2222
65,,,,4.27,0.2531
